title,date,url,content,category,source,reported_time
لاہور: 4 افراد کی خاتون کیساتھ مبینہ اجتماعی زیادتی، 2 پولیس مقابلے میں ہلاک,"Aug 01, 2025",https://www.24urdu.com/01-Aug-2025/140195,پولیس حکام کا بتنا ہے کہ لاہور کے علاقے چوہنگ میں 4 افراد نے ایک خاتون کو مبینہ طور پر اجتماعی زیادتی کا نشانہ بنایا تھا۔ پولیس کے مطابق ملزمان کی گرفتاری کیلئے چھاپا مارا گیا تو انہوں نے فائرنگ کر دی، جوابی فائرنگ میں 2 ملزمان ہلاک ہو گئے جبکہ دیگر ساتھیوں کی تلاش جاری ہے۔ دوسری جانب بیگم کوٹ پولیس نے بروقت کارروائی کرتے ہوئے 11 سالہ بچے سے زیادتی کی کوشش کرنے والے اوباش ملزم گرفتار کر لیا۔ ملزم ورغلاء کر معصوم بچے کو اپنے کمرے میں لے گیا اور زیادتی کرنے لگا، بچے کی چیخ پکار سے ملزم موقع سے بھاگ گیا۔ پولیس نے اطلاع ملنے پر بروقت کاروائی کرتے ملزم کو گرفتار کر لیا اور مقدمہ درج کر کے معاملے کی تحقیقات شروع کر دی ہین۔,N/A,24_news,10:55:AM
’’میں نے اپنے باپ کا بدلہ لے لیا ‘‘سینئر وکیل کو   قتل کرنیوالے ملزم کے جملے سامنے آگئے,"Aug 02, 2025",https://www.24urdu.com/02-Aug-2025/140298,"کراچی کے علاقے ڈیفنس میں سینئر وکیل خواجہ شمس الاسلام کو فائرنگ کر کے قتل کرنے والے ملزم کی شناخت ہو گئی اور حملہ آور نے فرار ہوتے ہوئے کہا ایک جملہ بھی ادا کیا۔ درخشاں تھانے کی حدود ڈیفنس فیز 6 قرآن اکیڈمی میں نماز جمعہ کے بعد ایک شخص نے مسجد میں گھس کر فائرنگ کی اور فرار ہو گیا، فائرنگ کے نتیجے میں سینئر وکیل خواجہ شمس السلام اور ان کا بیٹا زخمی ہو گئے، فائرنگ سے زخمی ہونے والے باپ بیٹے کو نجی اسپتال منتقل کیا جہاں دوران علاج 55 سالہ خواجہ شمس السلام چل بسے جبکہ ان کے بیٹے 25 سالہ خواجہ دانیال کو طبی امداد دی جا رہی ہے۔ پولیس کے مطابق خواجہ شمس الاسلام بیٹے کے ساتھ ڈی ایچ اے فیز 6 میں ایک جنازے میں شرکت کیلئے آئے تھے کہ قمیض شلوار میں ملبوس ملزم نے ان پر فائرنگ کی اور موٹر سائیکل پر فرار ہو گیا۔ عینی شاہدین کے مطابق ملزم نے چہرے پر ماسک لگا رکھا تھا جبکہ ایس ایس پی ساؤتھ مہظور علی نے بتایا کہ خواجہ شمس الاسلام نے نماز جمعہ اور اس کے بعد نماز جنازہ پڑھی، نماز کی ادائیگی کے بعد وہ سیڑھیوں کے قریب جوتے پہن کر جیسے ہی کھڑے ہوئے تو مسلح ملزم مسجد میں داخل ہوا اور بھاگتے ہوئے ان پر فائرنگ کر دی، خواجہ شمس الاسلام کو سینے میں دو گولیاں لگیں جبکہ ایک گولی ان کے بیٹے کو بھی لگی۔ پولیس کا کہنا ہے کہ خواجہ شمس الاسلام کو قتل کرنے والے ملزم کی شناخت کرلی گئی ہے۔ خواجہ شمس الاسلام کا قاتل سابق گن مین کا بیٹا عمران آفریدی ہے جس نے چند ماہ پہلے بھی خواجہ شمس الاسلام پر حملہ کیا تھا۔ مہظور علی نے بتایا کہ نبی گل نامی ریٹائرڈ ہیڈ کانسٹیبل خواجہ شمس الاسلام کے ساتھ بطور گن مین چلتا تھا، 2021 میں نبی گل کو کسی نے قتل کر کے لاش ٹھٹھہ کے قریب پھینک دی تھی جس پر نبی گل کے بیٹوں نے الزام عائد کیا کہ ان کے باپ کے قتل میں خواجہ شمس الاسلام ملوث ہیں۔ ایس ایس پی ساؤتھ نے بتایا کہ 2024 میں کلفٹن میں نبی گل کے بیٹوں اور بھائی نے خواجہ شمس الاسلام پر حملہ کیا تھا جس میں وہ زخمی ہوئے تھے، واقعے میں نبی گل کا بھائی بہار گل اور اس کا بیٹا عبداللہ اور ایک سہولت کار سرفراز گرفتار ہو کر جیل گئے تھے۔ انہوں نے بتایا کہ مذکورہ واقعہ بھی اسی کی کڑی ہے، جمعہ کو نبی گل کے بیٹے عمران نے فائرنگ کی اور بھاگتے ہوئے کہا کہ ""میں نے اپنے باپ کا بدلہ لے لیا۔ واقعے کے بعد سے عمران سمیت نبی گل کے پانچوں بیٹے اور نبی گل کے بھائی بہار گل کے بیٹے غائب ہیں، نبی گل کا ایک اور بھائی تقدیر گل معطل پولیس اہلکار ہے اور پولیس لائنز کلفٹن میں رہائش پذیر ہے۔ مہظور علی نے بتایا کہ ملزم عمران کو گرفتار کرنے کے لیے پولیس کی مختلف ٹیمیں چھاپے مار رہی ہیں جبکہ عمران کے دو رشتہ داروں کو پولیس نے حراست میں لے لیا ہے۔",N/A,24_news,09:36:AM
نیشنل سائبر کرائم انویسٹی گیشن ایجنسی کی کارروائی،مالی فراڈ میں ملوث ملز م گرفتار,"Jul 30, 2025",https://www.24urdu.com/30-Jul-2025/140017,کارروائی انکوائری نمبر 2589/2024 کے تحت کی گئی،ملزم کے خلاف ایف آئی آر بھی درج کرلی گئی ہے،ملزم کا تعلق سکیم III راولپنڈی سے ہے اوراس نے Travokey کمپنی کے مالیاتی نظام میں جعل سازی اور رد و بدل  کیا تھاجس سےکمپنی کو 90 لاکھ روپے کا نقصان پہنچا۔ یہ بھی پڑھیں: مقدمہ پیکا ایکٹ 2016 کی دفعات 13، 14 اور تعزیرات پاکستان کی دفعات 419، 420 کے تحت درج  کیاگیاہے،کیس کی تحقیقات سب انسپکٹر محمد سارم علی کی زیر نگرانی جاری ہیں۔,N/A,24_news,15:20:PM
اشتہاری کا اسٹیٹس ختم نہ ہوسکا، علی امین گنڈا پور کی گرفتاری کا حکم,"Jul 31, 2025",https://www.24urdu.com/31-Jul-2025/140105,انسداددہشت گردی عدالت کے جج طاہر عباس سپرا نے کیسز پر سماعت کی،عدالت نے اسلام آباد پولیس کو علی امین گنڈا پور کی گرفتاری کا حکم دیتے ہوئے کہاکہ علی امین گنڈا پور کے وارنٹ گرفتاری برقرار ہیں،اسلام آباد پولیس وارنٹ گرفتاری پر عمل کرے اور اگر پشاور ہائی کورٹ کا کوئی حکم ہے اس پر عمل کریں۔ یہ بھی پڑھیں: پی ٹی آئی راہنما فیصل جاوید خان اورو دیگر عدالت میں پیش ہوئے،عدالت نے وکلاء کی استدعا پر سماعت ملتوی کردی اورکیس پر آئندہ سماعت 6 اگست کو ہوگی۔ واضح رہے کہ علی امین گنڈا پور و دیگر کے خلاف تھانہ انڈسٹریل ایریا میں مقدمہ درج ہے۔,N/A,24_news,11:31:AM
کراچی پورٹ اینڈ شپنگ ریفرنس، کامران مائیکل سمیت تمام ملزمان بری,"Aug 01, 2025",https://www.24urdu.com/01-Aug-2025/140221,سابق وفاقی وزیر کامران مائیکل اور دیگر ملزمان آج احتساب عدالت میں پیش ہوئے تھے،عدالت نے کامران مائیکل سمیت 29 ملزمان کے خلاف ریفرنس ختم کردیا۔ درخواست گزار کے وکیل کا کہنا تھا کہ ریفرنس 2018 میں سیاسی رنجش کی بنا پر بنایا گیا ، کامران مائیکل کو 6 ماہ تک جیل میں رکھا گیا۔ یہ بھی پڑھیں: یاد رہے کہ 2019 میں نیب نے مسلم لیگ ن کے رہنما اور سابق وفاقی وزیر کامران مائیکل کوبطوروفاقی وزیر اختیارات کے غلط استعمال کے الزام میں گرفتار بھی کیا تھا۔,N/A,24_news,13:17:PM
اسمگلنگ کیخلاف ملک گیر کریک ڈاؤن، کروڑوں کی منشیات برآمد، 11 ملزم گرفتار,"Aug 02, 2025",https://www.24urdu.com/02-Aug-2025/140310,تمام کارروائیوں کے دوران مجموعی طور پر 2 کروڑ 15 لاکھ روپے سے زائد مالیت کی 107.318 کلوگرام منشیات برآمد کی گئی،ترجمان کے مطابق چکلالہ میں واقع ایک کوریئر آفس میں برطانیہ سے راولپنڈی آنے والے پارسل کی چیکنگ کے دوران 84 گرام مائع بھنگ برآمد ہوئی، جس پر متعلقہ ملزم کو گرفتار کر لیا گیا۔ اسی طرح ساہیوال کے قریب ہڑپہ ٹول پلازہ پر ایک گاڑی سے 4 کلو افیون، 2 کلو چرس اور 500 گرام آئس برآمد ہوئی، جہاں 3 ملزمان کو حراست میں لیا گیا۔ بلوچستان کے ضلع پشین میں سرانان روڈ پر کارروائی کے دوران ایک گاڑی سے 45 کلو افیون برآمد ہوئی، جب کہ ایک ملزم کو گرفتار کیا گیا۔ وفاقی دارالحکومت اسلام آباد میں ترنول کے قریب ایک ٹرک سے 25 کلو افیون اور 22.8 کلوگرام چرس برآمد کی گئی اور ایک شخص کو گرفتار کر لیا گیا۔ کوہاٹ کے قریب انڈس ہائی وے پر موٹر سائیکل سوار سے 2 کلو افیون برآمد ہوئی، جب کہ اسلام آباد موٹروے ٹول پلازہ پر ایک بس مسافر کے قبضے سے 2 کلو آئس اور دوسری کارروائی میں ایک اور مسافر کے بیگ سے 1.808 کلوگرام ہیروئن برآمد ہوئی۔ پشاور میں رنگ روڈ کے قریب ایک گاڑی سے 1.3 کلو ہیروئن برآمد کی گئی اور اٹک کے برہان ٹول پلازہ پر بس میں سوار ایک مسافر کے قبضے سے 710 گرام افیون برآمد ہوئی۔ تمام گرفتار افراد کے خلاف انسداد منشیات ایکٹ کے تحت مقدمات درج کر کے تفتیش شروع کر دی گئی ہے۔,N/A,24_news,11:10:AM
28 سال بعد شاہد حامد قتل کیس کا فیصلہ ، 2 ملزم بری,"Jul 29, 2025",https://www.24urdu.com/29-Jul-2025/139917,(24نیوز)کراچی کی انسداد دہشت گردی عدالت نے 28 سال بعد سابق ایم ڈی کے ای ایس سی شاہد حامد قتل کیس کا فیصلہ سنادیا۔ عدالت نے عدم شواہد کی بناء پر منہاج قاضی اور محبوب غفران کو بری کردیا،پراسیکیوشن کے مطابق مقدمے میں ملوث صولت مرزا کو عدالت نے 1999ء میں سزائے موت سنائی تھی جبکہ 2016 میں پولیس نے منہاج قاضی اور محبوب غفران کو گرفتار کیا تھا۔ پراسیکیوشن کا کہنا ہے کہ صولت مرزا، منہاج قاضی اور دیگر کے خلاف ڈیفنس پولیس نے مقدمہ درج کیا تھا۔,N/A,24_news,14:15:PM
کرپشن کیس کے ملزم کو 29 سال قید کی سزا,"Aug 01, 2025",https://www.24urdu.com/01-Aug-2025/140197,ایف آئی اے کے ترجمان کے مطابق ملزم پوسٹ ماسٹر حامد پر 20 لاکھ 10 ہزار روپے جرمانہ بھی عائد کیا گیا ہے،ترجمان کے مطابق ملزم کو 2 کروڑ 15 لاکھ 25 ہزار 194 روپے محکمہ ڈاک کو ادا کرنے کا بھی حکم دیا گیا ہے۔ ملزم نے پنشن سیونگ بُک میں 3 کروڑ 52 لاکھ 96 ہزار روپے سے زائد کی بوگس انٹریاں کی تھیں۔,N/A,24_news,10:06:AM
غیر حاضر ملزمان کے وارنٹ گرفتاری جاری،عمر ایوب کی درخواستیں منظور,"Jul 30, 2025",https://www.24urdu.com/30-Jul-2025/140002,انسداددہشتگردی عدالت اسلام آبادمیں پی ٹی آئی رہنماؤں اور کارکنان کیخلاف 26 نومبر اور 4 اکتوبر احتجاج پر درج مقدمات کی جج طاہر عباس سپرا نےسماعت کی،عدالت نے غیر حاضر ملزمان کے وارنٹ گرفتاری جاری کردیئےجبکہ اپوزیشن عمر ایوب کی حاضری سے استثنیٰ کی درخواستیں منظورکرلیں،پی ٹی آئی رہنما اعظم سواتی کو چالان کی نقول بھی فراہم کردی گئیں۔ 26 نومبر احتجاج پر درج تھانہ کوہسار کے مقدمہ میں پراسیکیوشن نے ملزمان کاچالان جمع کروا دیا جن کی ضمانتوں پر فیصلے نہیں ہو سکے،پراسیکیوشن اگلی سماعت پر دلائل دے گاکہ کیا ان ملزمان کا چالان پیش ہو سکتا ہے جن کی ضمانت پر ہی فیصلہ نہیں ہوا، عدالت نے تھانہ کوہسار اور نون کے مقدمہ کی سماعت 4 اگست اورتھانہ آبپارہ و ترنول کے مقدمہ کی سماعت 11 اگست تک ملتوی کردی۔ یہ بھی پڑھیں: بانی پی ٹی آئی و کارکنان کیخلاف آزادی مارچ کے 2 کیسز اور تھانہ کھنہ کے مقدمہ نمبر 242 کی سماعت بھی بغیر کارروائی کے ملتوی ہوگئی،تھانہ کوہسار کے مقدمہ نمبر 1033 کی سماعت کل تک ملتوی ہوگئی،غیر حاضر ملزمان کے وارنٹ گرفتاری جاری کردیئے گئے،تھانہ کوہسار کے مقدمہ نمبر 551 کاچالان بھی عدالت میں جمع کرادیاگیا،عدالت نے علی بخاری،شعیب شاہین اور دیگر ملزمان کو طلبی کے نوٹسز جاری کرکےکیس کی سماعت 6 ستمبر تک ملتوی کردی۔ پی ٹی آئی کارکنان کی جانب سے سردار محمد مصروف خان،آمنہ علی اور مرتضیٰ طوری عدالت میں پیش ہوئے،پی ٹی آئی رہنماؤں اور کارکنان پر دہشت گردی ودیگر دفعات کے تحت تھانہ نون، کوہسار، آبپارہ و دیگر میں مقدمات درج ہیں۔,N/A,24_news,12:55:PM
سم فروخت کرنے والی لڑکی سے مبینہ اجتماعی زیادتی,"Aug 02, 2025",https://www.24urdu.com/02-Aug-2025/140309,پولیس حکام نے بتایا کہ لڑکی کو مبینہ اجتماعی جنسی زیادتی کا نشانہ بنانے کا واقعہ کندیاں جنگل میں پیش آیا، متاثرہ نجی موبائل کمپنی کی سم فروخت کرنے کا کام کرتی ہے۔ پولیس حکام نے بتایا کہ واقعے میں دو ملزمان ملوث ہیں، متاثرہ لڑکی نے خود 15 پر کال کر کے اپنے ساتھ پیش آئے واقعے کی اطلاع دی، ملزمان کی تلاش کیلئے جدید ٹیکنالوجی کا سہارا لیا جا رہا ہے۔ ایس پی انویسٹی گیشن میانوالی نے تھانہ کندیاں پہنچ کر مقدمہ اپنی نگرانی میں درج کروایا اور متاثرہ لڑکی کا میڈیکل کروانے کی ہدایت کی۔,N/A,24_news,10:48:AM
